"N = 5, class = pushing, number of nodes per layer = 100"
No. of layers,Accuracy
1,0.5409722328186035
2,0.6017361283302307
3,0.581944465637207
4,0.6170138716697693
5,0.6656249761581421
6,0.6663194298744202
7,0.7326388955116272
8,0.7284722328186035
9,0.7131944298744202
10,0.7107638716697693
11,0.7121527791023254
12,0.7097222208976746
13,0.6965277791023254
14,0.6982638835906982
15,0.6819444298744202
