number of nodes per layer = 100
No. of layers,Accuracy
1,0.4475308656692505
2,0.47685185074806213
3,0.6327160596847534
4,0.6327160596847534
5,0.6280864477157593
6,0.6311728358268738
7,0.6203703880310059
8,0.6203703880310059
9,0.6126543283462524
10,0.6527777910232544
11,0.6435185074806213
12,0.6327160596847534
13,0.6141975522041321
14,0.6296296119689941
15,0.6080247163772583
