"N = 5, class = pushing, numOfLayers = 7"
numOfNodes per layer,accuracy
10,0.5958333611488342
50,0.6409721970558167
100,0.7326388955116272
200,0.7520833611488342
300,0.7607638835906982
400,0.7791666388511658
500,0.7840277552604675
1000,0.7847222089767456
